"File","Category","Lines","DialogContent call sites","Input/control sites","Local function declarations","Imports","Coverage meaning"
"app/(game)/layout.tsx","Route or app infrastructure","10","","0","GameLayout:5","react; @/components/login-hero; ../providers","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/(game)/page.tsx","Route or app infrastructure","1315","1280","1","loadFarcasterSdk:28; loadWalletProfileModule:66; TabLoadError:87; LoginAuthActions:287; SharedFarmMintMobileToggle:386; App:629","@/components/chat; @/components/app-update-banner; @/components/status-bar; @/components/solana; @/components/theme-selector; @/components/ui/alert; @/components/ui/button; @/components/ui/dialog; @/components/ui/loading; @/components/ui/performance-mode; @/components/ui/toggle-group; @/components/login-hero; @/lib/farm-view-context; @/lib/tab-visibility-context; @/lib/types; lucide-react; next-themes; next/dynamic; next/image; react; react-hot-toast; @/components/auth/surface-switch-buttons; @/hooks/useAppAuthController; @/hooks/useAutoConnect; @/hooks/useBroadcastMessages; @/hooks/useFarcaster; @/hooks/useMediaQuery; @/hooks/useWebQueryState; @/lib/app-events; @/lib/auth-surface; @/lib/env-config; @/lib/farcaster-miniapp-auth-client; @/lib/local-test-mode; @/lib/solana-auth-availability; @/lib/utils; @/components/tutorial; @/components/ui/error-boundary; @/hooks/useKeyboardAware","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/.well-known/farcaster.json/route.ts","Route or app infrastructure","85","","0","withValidProperties:1; GET:18","","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/admin/layout.tsx","Route or app infrastructure","23","","0","AdminLayout:10","next; ../core-providers","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/admin/page.tsx","Route or app infrastructure","4031","3899; 3978","19","getToolStatusClass:91; formatToolFreshness:103; formatToolInput:124; AdminDashboard:198","@/components/theme-selector; @/components/ui/alert; @/components/ui/button; @/components/ui/card; @/components/ui/dialog; @/components/ui/input; @/components/ui/textarea; @/lib/broadcast-service; @/lib/env-config; @/lib/types; date-fns; lucide-react; next/image; react; react-hot-toast","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/api/activity/my/route.ts","Server API","41","","0","GET:7","next/server; @/lib/activity-service; @/lib/utils","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/api/activity/recent/route.ts","Server API","28","","0","GET:6","next/server; @/lib/activity-service","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/api/admin/auth/route.ts","Server API","21","","0","GET:4","@/lib/auth-utils; next/server","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/api/admin/batch-limits/route.ts","Server API","245","","0","GET:45","@/lib/auth-utils; @/lib/base-rpc; @/lib/contracts; @/public/abi/pixotchi-v3-abi; next/server; viem","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
"app/api/admin/broadcast/cleanup/route.ts","Server API","92","","0","POST:8; DELETE:45","next/server; @/lib/auth-utils; @/lib/broadcast-service","Source indexed. Runtime coverage is feature/state sampling; see report and dialog inventory."
